['135', '56', '323', '777', '738', '456', '367', '153', '712', '13', '701', '470', '543', '91', '150', '759', '166', '344', '96', '977', '452', '248', '867', '703', '529']
['647', '955', '750', '609', '766', '576', '73', '823', '696', '531', '870', '471', '282', '486', '653', '29', '449', '59', '544', '447', '9', '706', '675', '851', '935']
['617', '423', '127', '291', '722', '258', '429', '779', '487', '730', '843', '608', '468', '981', '36', '813', '821', '330', '997', '220', '636', '223', '787', '947', '47']
['538', '577', '152', '680', '895', '968', '931', '225', '522', '25', '397', '201', '101', '498', '585', '606', '768', '233', '464', '84', '552', '60', '178', '415', '113']
['739', '620', '865', '410', '893', '27', '112', '948', '420', '244', '180', '572', '292', '332', '553', '628', '439', '255', '431', '138', '419', '54', '773', '184', '203']
['198', '514', '491', '943', '168', '950', '906', '405', '52', '301', '824', '734', '345', '852', '409', '603', '542', '601', '15', '586', '833', '425', '504', '181', '297']
['626', '571', '492', '651', '567', '445', '830', '482', '296', '399', '911', '169', '224', '684', '378', '876', '349', '167', '383', '343', '778', '231', '850', '882', '342']
['938', '485', '83', '760', '845', '666', '877', '205', '595', '274', '369', '836', '607', '764', '276', '937', '6', '841', '22', '996', '835', '49', '232', '518', '634']
['217', '215', '293', '350', '974', '77', '868', '728', '353', '320', '371', '825', '772', '727', '114', '971', '435', '662', '710', '708', '828', '188', '816', '30', '698']
['333', '679', '731', '820', '69', '283', '45', '147', '222', '991', '341', '745', '633', '55', '235', '140', '227', '694', '875', '428', '854', '747', '871', '583', '102']
['380', '376', '752', '643', '965', '39', '702', '940', '219', '400', '976', '306', '195', '933', '532', '812', '916', '366', '19', '133', '640', '43', '862', '190', '214']
['887', '80', '645', '664', '954', '800', '510', '985', '82', '573', '476', '929', '309', '597', '920', '338', '392', '505', '318', '719', '536', '983', '177', '85', '781']
['655', '869', '642', '310', '580', '785', '743', '829', '699', '125', '540', '803', '134', '72', '67', '358', '883', '826', '944', '623', '686', '421', '961', '389', '560']
['285', '885', '807', '534', '66', '713', '570', '109', '384', '993', '210', '594', '289', '842', '674', '801', '370', '627', '749', '2', '819', '351', '483', '230', '908']
['57', '375', '659', '1', '130', '515', '403', '980', '302', '910', '792', '596', '277', '142', '93', '281', '162', '611', '408', '657', '804', '780', '417', '372', '757']
['878', '474', '209', '493', '989', '477', '502', '337', '554', '507', '247', '382', '74', '541', '229', '496', '834', '331', '440', '362', '926', '619', '442', '187', '262']
['259', '949', '945', '413', '443', '288', '654', '786', '448', '95', '923', '616', '34', '387', '92', '418', '324', '393', '879', '656', '317', '88', '860', '185', '48']
['463', '517', '305', '618', '984', '682', '453', '525', '512', '357', '21', '16', '754', '714', '941', '364', '557', '265', '509', '725', '921', '880', '866', '120', '365']
['635', '691', '762', '526', '840', '438', '495', '733', '407', '506', '629', '473', '539', '17', '793', '171', '990', '335', '86', '212', '303', '736', '891', '660', '599']
['720', '18', '489', '340', '158', '551', '624', '278', '922', '454', '23', '70', '411', '593', '81', '381', '672', '406', '765', '90', '528', '63', '527', '600', '124']
['670', '587', '644', '740', '889', '598', '336', '199', '286', '513', '154', '312', '149', '561', '497', '228', '932', '461', '10', '918', '20', '298', '436', '118', '905']
['58', '569', '582', '33', '942', '441', '186', '261', '548', '962', '549', '386', '200', '414', '161', '622', '379', '953', '669', '334', '802', '604', '251', '566', '612']
['709', '374', '108', '610', '614', '936', '89', '809', '204', '753', '273', '914', '40', '788', '136', '894', '899', '221', '693', '287', '794', '646', '673', '898', '873']
