['768', '426', '573', '183', '75']
['581', '141', '394', '713', '420']
['779', '985', '583', '149', '72']
['358', '515', '321', '403', '992']
['592', '823', '608', '564', '334']
['187', '92', '991', '856', '67']
['283', '595', '251', '748', '177']
['670', '437', '384', '114', '475']
['884', '562', '641', '570', '826']
['100', '743', '519', '983', '454']
['851', '676', '191', '578', '199']
['54', '385', '382', '478', '302']
['154', '178', '35', '960', '399']
['557', '976', '318', '829', '988']
['81', '799', '429', '174', '175']
['144', '912', '468', '210', '23']
['844', '196', '124', '447', '804']
['419', '794', '82', '280', '797']
['336', '357', '85', '840', '691']
['304', '493', '18', '173', '534']
['915', '424', '94', '24', '715']
['496', '878', '732', '782', '561']
['364', '465', '767', '286', '598']
['57', '351', '668', '134', '121']
['434', '74', '243', '109', '763']
['108', '926', '253', '781', '883']
['842', '944', '310', '21', '300']
['422', '729', '615', '963', '42']
['630', '822', '631', '352', '796']
['95', '604', '229', '677', '421']
['690', '728', '156', '99', '654']
['545', '381', '700', '594', '176']
['236', '138', '731', '924', '541']
['80', '5', '683', '910', '477']
['619', '613', '623', '518', '957']
['34', '514', '649', '443', '288']
['204', '342', '293', '189', '674']
['181', '388', '815', '360', '76']
['63', '819', '836', '625', '386']
['78', '943', '817', '533', '582']
['6', '521', '389', '821', '627']
['362', '368', '975', '93', '2']
['188', '412', '489', '380', '560']
['788', '792', '596', '771', '611']
['356', '756', '805', '897', '164']
['706', '117', '277', '790', '859']
['169', '576', '58', '249', '36']
['474', '504', '500', '208', '119']
['887', '0', '644', '648', '408']
['722', '472', '502', '215', '372']
['203', '919', '723', '704', '758']
['941', '281', '618', '319', '327']
['606', '129', '542', '469', '33']
['946', '490', '485', '707', '881']
['112', '457', '609', '858', '617']
['814', '449', '341', '569', '328']
['297', '64', '526', '256', '206']
['46', '324', '671', '757', '269']
['369', '163', '373', '194', '755']
['955', '226', '718', '554', '917']
['831', '865', '657', '123', '834']
['839', '157', '967', '664', '964']
['48', '499', '750', '152', '621']
['891', '633', '483', '50', '331']
['145', '559', '568', '685', '987']
['901', '107', '205', '440', '711']
['401', '240', '230', '448', '503']
['160', '155', '528', '761', '250']
['527', '873', '716', '658', '393']
['445', '284', '751', '87', '885']
['877', '45', '279', '450', '717']
['607', '726', '88', '479', '186']
['942', '651', '295', '584', '774']
['950', '984', '285', '216', '714']
['222', '675', '224', '766', '275']
['47', '982', '106', '73', '886']
['418', '616', '38', '271', '274']
['889', '517', '966', '501', '462']
['308', '635', '387', '97', '775']
['255', '931', '896', '523', '322']
['512', '911', '752', '879', '656']
['10', '838', '776', '459', '131']
['585', '135', '904', '348', '945']
['258', '974', '244', '41', '68']
['524', '525', '267', '383', '453']
['223', '375', '860', '733', '110']
['231', '848', '487', '414', '126']
['593', '741', '809', '16', '317']
['954', '252', '684', '49', '37']
['622', '326', '438', '614', '26']
['441', '682', '376', '516', '506']
['850', '232', '999', '170', '734']
['828', '567', '495', '951', '433']
['898', '343', '725', '53', '259']
['305', '780', '185', '538', '629']
['184', '325', '147', '257', '11']
['841', '225', '754', '730', '555']
['566', '211', '820', '705', '535']
['165', '402', '740', '473', '642']
['492', '330', '914', '467', '880']
['937', '118', '852', '86', '939']
['494', '972', '265', '539', '158']
['411', '410', '115', '27', '268']
['699', '764', '340', '650', '531']
['620', '666', '40', '921', '793']
['659', '365', '638', '802', '770']
['70', '646', '397', '745', '396']
['292', '918', '335', '241', '201']
['431', '148', '171', '870', '374']
['313', '200', '652', '120', '665']
['863', '406', '645', '998', '663']
['290', '936', '282', '981', '572']
['17', '510', '818', '315', '824']
['997', '736', '692', '551', '655']
['84', '22', '866', '990', '59']
['332', '291', '316', '813', '672']
['552', '628', '261', '680', '902']
['996', '44', '947', '198', '233']
['624', '139', '25', '787', '772']
['825', '948', '962', '612', '52']
['161', '935', '220', '953', '994']
['952', '895', '909', '548', '20']
['522', '932', '439', '221', '359']
['553', '773', '276', '320', '949']
['287', '753', '167', '536', '180']
['778', '636', '669', '735', '899']
['90', '720', '833', '378', '136']
['311', '464', '296', '273', '673']
