['56', '483', '259', '472', '459']
['914', '358', '741', '266', '461']
['893', '164', '919', '610', '890']
['441', '302', '139', '248', '447']
['136', '332', '614', '811', '316']
['57', '234', '31', '953', '450']
['247', '339', '206', '903', '223']
['272', '820', '926', '742', '947']
['806', '347', '545', '105', '767']
['738', '264', '385', '999', '399']
['456', '885', '23', '995', '258']
['795', '216', '898', '844', '349']
['238', '981', '711', '653', '167']
['354', '287', '765', '42', '850']
['925', '553', '823', '36', '841']
['959', '398', '2', '119', '132']
['556', '495', '65', '107', '985']
['355', '438', '933', '715', '137']
['427', '992', '422', '501', '435']
['269', '654', '956', '776', '451']
['321', '12', '392', '97', '828']
['700', '529', '938', '523', '395']
['677', '280', '678', '87', '550']
['744', '365', '375', '155', '719']
['469', '762', '423', '988', '796']
['704', '662', '510', '977', '649']
['718', '902', '290', '110', '93']
['50', '916', '19', '377', '819']
['810', '83', '937', '578', '559']
['621', '419', '804', '531', '541']
['126', '807', '26', '864', '331']
['62', '574', '429', '665', '750']
['188', '618', '425', '542', '34']
['683', '73', '149', '775', '485']
['951', '958', '231', '552', '889']
['396', '249', '47', '240', '48']
['46', '345', '855', '934', '357']
['650', '957', '221', '29', '941']
['770', '788', '225', '675', '477']
['191', '870', '989', '292', '557']
['7', '994', '39', '636', '599']
['521', '151', '555', '536', '279']
['10', '222', '701', '607', '81']
['522', '243', '1', '297', '473']
['904', '861', '176', '728', '655']
['936', '282', '393', '659', '974']
['768', '268', '417', '735', '644']
['773', '696', '583', '228', '680']
['60', '130', '166', '971', '308']
['369', '845', '49', '907', '797']
['224', '716', '679', '872', '64']
['764', '218', '575', '940', '527']
['359', '694', '387', '195', '600']
['882', '747', '72', '68', '976']
['633', '801', '156', '606', '211']
['235', '145', '565', '906', '40']
['791', '532', '615', '827', '928']
['426', '504', '549', '812', '669']
['830', '298', '0', '209', '311']
