['341', '304', '289', '573', '733', '545', '595', '456', '433', '632']
['18', '321', '485', '707', '111', '229', '766', '267', '805', '717']
['53', '174', '284', '233', '987', '619', '764', '418', '501', '84']
['564', '7', '464', '448', '984', '504', '262', '776', '244', '12']
['896', '126', '261', '205', '331', '682', '378', '517', '962', '673']
['221', '552', '617', '425', '385', '49', '203', '26', '135', '273']
['98', '692', '408', '298', '516', '524', '232', '633', '525', '459']
['538', '639', '828', '482', '163', '735', '334', '927', '680', '79']
['35', '889', '994', '616', '204', '621', '753', '778', '879', '290']
['296', '918', '663', '598', '670', '534', '899', '328', '15', '727']
['819', '118', '592', '169', '258', '295', '846', '442', '167', '656']
['414', '472', '711', '745', '669', '88', '568', '528', '523', '612']
['620', '943', '911', '635', '510', '161', '885', '283', '988', '57']
['383', '58', '275', '508', '752', '894', '342', '898', '41', '320']
['224', '256', '113', '886', '868', '399', '878', '287', '279', '946']
['37', '222', '379', '136', '226', '952', '185', '336', '834', '622']
