['266', '423', '158', '248', '322', '541', '741', '118', '316', '291']
['975', '152', '598', '538', '455', '40', '180', '544', '835', '702']
['28', '879', '815', '902', '99', '312', '874', '725', '232', '854']
['215', '93', '10', '577', '94', '502', '138', '526', '727', '102']
['712', '65', '133', '709', '342', '194', '419', '625', '75', '829']
['328', '184', '866', '44', '981', '570', '603', '462', '219', '392']
['206', '501', '378', '90', '698', '238', '313', '307', '747', '429']
['761', '852', '166', '962', '21', '593', '500', '746', '906', '826']
['97', '1', '512', '124', '595', '790', '35', '507', '932', '649']
['481', '504', '409', '18', '441', '390', '586', '95', '221', '876']
['685', '666', '359', '58', '838', '958', '427', '59', '350', '786']
['110', '650', '161', '979', '671', '522', '518', '757', '154', '559']
['848', '851', '293', '197', '521', '618', '637', '331', '802', '384']
['578', '545', '622', '664', '465', '192', '872', '716', '366', '869']
['818', '878', '506', '237', '264', '989', '644', '616', '911', '448']
['249', '344', '699', '737', '323', '554', '940', '719', '19', '970']
['467', '752', '792', '68', '540', '379', '415', '485', '821', '80']
['864', '631', '768', '430', '525', '756', '389', '551', '736', '896']
['832', '408', '943', '456', '951', '867', '382', '432', '697', '656']
['931', '107', '904', '246', '263', '277', '77', '679', '309', '567']
['813', '258', '86', '452', '472', '275', '812', '203', '920', '357']
['636', '726', '396', '703', '935', '557', '105', '624', '147', '780']
['201', '983', '195', '363', '458', '488', '858', '306', '724', '942']
['491', '83', '700', '222', '160', '964', '387', '297', '134', '265']
['514', '395', '648', '290', '333', '965', '117', '394', '548', '880']
['833', '445', '513', '855', '460', '899', '683', '980', '51', '954']
['516', '369', '317', '0', '260', '740', '253', '204', '822', '972']
['181', '240', '895', '269', '707', '985', '92', '474', '840', '14']
['728', '587', '463', '447', '69', '550', '420', '549', '581', '599']
['259', '945', '67', '748', '997', '418', '274', '601', '883', '252']
['207', '239', '24', '884', '863', '620', '336', '52', '993', '602']
['634', '784', '48', '234', '142', '127', '509', '332', '596', '186']
['971', '400', '668', '775', '177', '140', '38', '661', '582', '2']
['183', '929', '348', '615', '849', '139', '494', '568', '372', '228']
['708', '809', '946', '771', '449', '98', '723', '444', '556', '146']
['8', '982', '530', '718', '751', '877', '955', '73', '74', '528']
['933', '179', '791', '143', '226', '412', '190', '892', '356', '413']
['653', '46', '834', '478', '250', '385', '230', '900', '684', '604']
['845', '273', '749', '795', '917', '961', '386', '34', '135', '82']
['785', '711', '612', '111', '889', '583', '565', '361', '694', '353']
['55', '285', '591', '227', '85', '553', '584', '182', '793', '600']
['302', '647', '594', '987', '898', '729', '914', '71', '171', '337']
['289', '730', '271', '305', '691', '614', '115', '116', '990', '952']
['912', '575', '706', '758', '208', '536', '280', '967', '365', '200']
['804', '633', '431', '950', '936', '49', '763', '330', '212', '566']
['417', '347', '132', '907', '623', '871', '901', '782', '639', '311']
['437', '999', '6', '828', '681', '156', '84', '300', '76', '949']
['295', '199', '537', '508', '905', '241', '744', '435', '326', '693']
