['336', '973', '724']
['429', '816', '958']
['978', '662', '274']
['240', '201', '783']
['96', '160', '449']
['9', '141', '587']
['180', '692', '527']
['931', '618', '82']
['292', '137', '189']
['445', '588', '516']
['877', '571', '815']
['936', '841', '263']
['345', '296', '197']
['484', '243', '294']
['585', '218', '270']
['911', '350', '140']
['536', '435', '98']
['169', '205', '640']
['684', '603', '262']
['538', '227', '501']
['728', '960', '562']
['343', '75', '372']
['22', '99', '925']
['835', '922', '83']
['659', '102', '622']
['952', '508', '89']
['245', '130', '236']
['710', '156', '7']
['907', '773', '775']
['965', '981', '332']
['708', '225', '176']
['458', '676', '830']
['940', '365', '33']
['906', '451', '267']
['314', '596', '908']
['403', '233', '671']
['920', '17', '733']
['43', '639', '191']
['679', '407', '894']
['980', '377', '483']
['302', '30', '623']
['570', '235', '591']
['289', '802', '574']
['856', '310', '736']
['792', '472', '549']
['513', '295', '660']
['443', '507', '878']
['582', '899', '563']
['749', '144', '255']
['337', '648', '997']
['917', '967', '619']
['858', '466', '185']
['417', '845', '383']
['983', '617', '541']
['474', '924', '446']
['500', '358', '882']
['937', '597', '323']
['387', '605', '307']
['187', '276', '34']
['393', '826', '514']
['879', '986', '883']
['88', '686', '764']
['512', '616', '962']
['297', '880', '577']
['199', '46', '726']
['374', '772', '359']
['891', '361', '44']
['272', '779', '344']
['647', '214', '453']
['326', '987', '788']
['723', '658', '188']
['672', '636', '994']
['765', '41', '551']
['256', '291', '928']
['461', '73', '283']
['900', '234', '935']
['198', '720', '620']
['63', '691', '107']
['215', '535', '177']
['612', '851', '923']
['809', '702', '252']
['18', '559', '352']
['982', '799', '495']
['157', '665', '397']
['161', '45', '388']
['379', '120', '195']
['221', '196', '368']
['543', '650', '59']
['238', '173', '192']
['354', '237', '282']
['151', '694', '131']
['452', '761', '770']
['529', '142', '127']
['460', '278', '711']
['688', '301', '114']
['254', '969', '944']
['520', '171', '611']
['798', '938', '36']
['760', '404', '739']
['355', '395', '499']
['475', '167', '609']
['575', '232', '926']
['822', '715', '956']
['763', '579', '362']
['194', '285', '914']
['771', '895', '360']
['164', '312', '220']
['704', '348', '732']
['568', '534', '288']
['729', '947', '402']
['428', '847', '813']
['455', '260', '413']
['250', '204', '93']
['244', '553', '27']
['35', '210', '412']
['555', '594', '836']
['271', '810', '241']
['193', '819', '311']
['228', '674', '707']
['61', '70', '467']
['471', '279', '298']
['486', '661', '456']
['572', '249', '777']
['330', '4', '346']
['521', '731', '148']
['697', '170', '797']
['414', '306', '90']
['25', '558', '364']
['47', '390', '539']
['904', '525', '984']
['464', '523', '11']
['184', '226', '780']
['60', '972', '909']
['113', '800', '614']
['399', '929', '621']
['385', '154', '590']
['778', '963', '861']
['918', '290', '794']
['564', '837', '511']
['12', '351', '569']
['223', '556', '502']
['942', '912', '384']
['166', '643', '5']
['436', '750', '896']
['854', '953', '592']
['580', '401', '158']
['583', '103', '786']
['509', '340', '600']
['913', '494', '893']
['540', '334', '610']
['72', '782', '624']
['85', '69', '796']
['801', '15', '305']
['649', '299', '753']
['408', '998', '324']
['554', '438', '186']
['382', '567', '431']
['757', '990', '850']
['857', '37', '375']
['823', '432', '689']
['14', '86', '136']
['885', '738', '338']
['889', '145', '629']
['203', '832', '6']
['663', '269', '976']
['357', '277', '247']
['642', '172', '876']
['901', '280', '162']
['492', '974', '748']
['598', '81', '281']
['149', '741', '934']
['602', '784', '26']
['23', '767', '258']
['405', '118', '737']
['680', '58', '806']
['655', '762', '264']
['406', '303', '111']
['932', '421', '115']
['146', '38', '49']
['394', '347', '868']
['498', '635', '919']
['174', '705', '110']
['410', '209', '824']
['604', '504', '954']
['363', '853', '989']
['552', '730', '242']
['673', '955', '902']
['566', '855', '117']
['693', '795', '584']
['865', '719', '506']
['132', '20', '546']
['470', '867', '53']
['316', '966', '915']
['881', '416', '550']
['123', '427', '190']
['478', '828', '333']
['988', '231', '651']
['112', '378', '67']
['864', '389', '961']
['129', '0', '477']
['608', '321', '869']
['419', '677', '448']
['84', '633', '48']
['747', '246', '21']
['993', '422', '599']
['105', '817', '627']
['804', '943', '106']
['367', '411', '40']
['557', '718', '230']
['873', '143']
['57', '319']
